what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.gwt.eclipse.core,2.2.0.v201102111811,"com.google.gwt.eclipse.core",1306791155207
started,bundle,org.python.pydev.customizations,1.6.5.2011020317,"org.python.pydev.customizations",1306791155314
started,bundle,com.google.appengine.eclipse.sdkbundle.1.4.0,1.4.0.v201012021502,"com.google.appengine.eclipse.sdkbundle.1.4.0",1306791155385
started,bundle,com.google.appengine.eclipse.core,2.2.0.v201102111811,"com.google.appengine.eclipse.core",1306791155416
activated,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1306791155761
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1306791155923
started,bundle,com.google.gwt.eclipse.sdkbundle.2.1.1,2.1.1.v201012170127,"com.google.gwt.eclipse.sdkbundle.2.1.1",1306791155930
started,bundle,com.google.gdt.eclipse.suite,2.2.0.v201102111811,"com.google.gdt.eclipse.suite",1306791156456
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306791156862
activated,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1306791157844
closed,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1306791157844
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791160174
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791160942
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791161684
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791166195
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791169819
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791173929
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791177843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791178494
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791186927
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791187782
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791191345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791214741
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791221944
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791222805
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791237089
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791245154
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791276731
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791289262
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791290348
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791291569
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791294115
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791295497
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791304617
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791306491
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791313583
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791381077
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791384776
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791385468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791388446
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791390414
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1306791393959
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791398719
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791399101
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791401249
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791407893
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791410829
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791419327
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791420921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791434291
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791435124
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791436117
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791444725
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791447599
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791451029
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791452845
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1306791467171
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306791480194
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791509217
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791538475
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791548203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791548876
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791549405
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791554126
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306791589024
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306791601384
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306791609656
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1306791617530
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306791619291
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791621750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791645346
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791659767
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791661044
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1306791676789
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1306791678787
opened,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1306791678789
activated,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1306791678856
activated,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1306791681029
closed,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1306791681029
activated,view,org.python.pydev,1.6.5.2011020317,"org.python.pydev.navigator.view",1306791682332
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1306791684822
activated,view,org.python.pydev,1.6.5.2011020317,"org.python.pydev.navigator.view",1306791685934
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791688310
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1306791691598
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1306791691799
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1306791692037
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791693085
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1306791693110
activated,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1306791699471
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306791726485
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791729043
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791766776
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791771134
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791796953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791799727
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791804859
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1306791805942
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306791807336
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791815209
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791818061
started,bundle,com.google.gdt.eclipse.maven,2.2.0.v201102111811,"com.google.gdt.eclipse.maven",1306791818194
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1306791818751
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1306791824550
activated,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1306791870684
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791892217
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791917763
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791921087
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791924648
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791928590
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791929711
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791931230
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791931933
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791934820
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791935556
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1306791937606
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791939384
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791940674
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791943465
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791944640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791946674
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791947455
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791956010
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791974741
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791988741
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791990026
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791991667
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791992498
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791995916
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306791996580
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306791997159
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1306792001799
activated,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1306792008220
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306792010070
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1306792019715
activated,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1306792112860
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1306792168704
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1306792169483
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306792243092
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306792253875
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306792254825
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306792256169
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1306792290284
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1306792291122
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1306792292303
